Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
Casa unifamiliar en alquiler en Calle XIX,Las Matas-Los Peñascales (Las Rozas de Madrid),4.000,600,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '600 m²'), ('Superficie útil:', '600 m²'), ('Habitaciones:', '6'), ('Baños:', '7'), ('Tipo de casa:', 'Unifamiliar'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '2805-002317')]",Alquiler
Piso en alquiler en Zona Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),1.400,65,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Referencia:', 'IF5032-avda-1d-V T 40m')]",Alquiler
"Piso en alquiler en Calle Luis Garcia Cereceda, Número 3",La Finca (Pozuelo de Alarcón),5.500,190,Anuncio actualizado el 28/10/2024,Consumo:15 kWh/m² año,Emisiones:2 Kg CO₂/m² año,"[('Superficie construida:', '190 m²'), ('Superficie útil:', '170 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '2ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Incluidos'), ('Referencia:', '2805-002404')]",Alquiler
"Estudio en alquiler en Calle de Pollensa, 5",Parque Empresarial (Las Rozas de Madrid),1.147,50,Anuncio actualizado el 03/07/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Baños:', '1'), ('Referencia:', 'IF5032-tartesos')]",Alquiler
"Piso en alquiler en Calle Gran Vía, cerca de Calle de García Molinas",Universidad-Malasaña (Distrito Centro. Madrid Capital),3.500,122,Anuncio actualizado el 03/10/2024,Consumo:70 kWh/m² año,Emisiones:15 Kg CO₂/m² año,"[('Superficie construida:', '122 m²'), ('Superficie útil:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '8ª'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4528417-000005')]",Alquiler
Piso en alquiler en Calle del Alcalde Sáinz de Baranda,Niño Jesús (Distrito Retiro. Madrid Capital),1.400,45,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5184-106277345')]",Alquiler
Piso en alquiler en Calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),3.750,107,Anuncio actualizado el 22/10/2024,Consumo:138 kWh/m² año,Emisiones:34 Kg CO₂/m² año,"[('Superficie construida:', '107 m²'), ('Superficie útil:', '89 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4400-23656')]",Alquiler
Piso en alquiler en Calle de Vista Alegre,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1.450,69,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '48 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '2805-002408')]",Alquiler
Casa adosada en alquiler en Sector B,Sector B (Boadilla del Monte),3.600,448,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '448 m²'), ('Habitaciones:', '5'), ('Baños:', '2'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC170-581681')]",Alquiler
"Ático en alquiler en Paseo de la Tierra de Melide, 30",Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),3.500,350,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '350 m²'), ('Superficie útil:', '280 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '4ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2557-105981723')]",Alquiler
Piso en alquiler en Prado de Somosaguas,Prado de Somosaguas (Pozuelo de Alarcón),2.200,175,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '175 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Gastos de comunidad:', 'Incluídos en el precio'), ('Referencia:', '500635-111253')]",Alquiler
Piso en alquiler en Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),2.300,157,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '157 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Incluídos'), ('Referencia:', '500635-111256')]",Alquiler
Piso en alquiler en Calle de Irún,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),3.000,85,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5184-105690166')]",Alquiler
Piso en alquiler en Calle de la Piña,Buenavista (Distrito Carabanchel. Madrid Capital),1.075,62,Anuncio actualizado el 10/10/2024,N/A,N/A,"[('Superficie construida:', '62 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4996848-000028')]",Alquiler
Piso en alquiler en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),2.200,70,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF5032-La Florida')]",Alquiler
