Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
Casa unifamiliar en alquiler en Calle XIX,Las Matas-Los Peñascales (Las Rozas de Madrid),4000.0,2024-10-28,,,Alquiler,600.0,600.0,6,7,Entre 5 y 10 años,En buen estado,No especificado,Casa
Piso en alquiler en Zona Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),1400.0,2024-10-28,,,Alquiler,65.0,No especificado,1,1,No especificado,No especificado,2ª,Piso
"Piso en alquiler en Calle Luis Garcia Cereceda, Número 3",La Finca (Pozuelo de Alarcón),5500.0,2024-10-28,Consumo:15 kWh/m² año,Emisiones:2 Kg CO₂/m² año,Alquiler,190.0,170.0,3,3,Menos de 5 años,En buen estado,2ª,Piso
"Estudio en alquiler en Calle de Pollensa, 5",Parque Empresarial (Las Rozas de Madrid),1147.0,2024-07-03,,,Alquiler,50.0,No especificado,No especificado,1,No especificado,No especificado,No especificado,Estudio
"Piso en alquiler en Calle Gran Vía, cerca de Calle de García Molinas",Universidad-Malasaña (Distrito Centro. Madrid Capital),3500.0,2024-10-03,Consumo:70 kWh/m² año,Emisiones:15 Kg CO₂/m² año,Alquiler,122.0,120.0,2,2,Entre 5 y 10 años,Reformado,8ª,Piso
Piso en alquiler en Calle del Alcalde Sáinz de Baranda,Niño Jesús (Distrito Retiro. Madrid Capital),1400.0,2024-10-28,,,Alquiler,45.0,No especificado,1,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),3750.0,2024-10-22,Consumo:138 kWh/m² año,Emisiones:34 Kg CO₂/m² año,Alquiler,107.0,89.0,3,2,Más de 50 años,Reformado,4ª,Piso
Piso en alquiler en Calle de Vista Alegre,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1450.0,2024-10-28,,,Alquiler,69.0,48.0,1,1,Menos de 5 años,En buen estado,1ª,Piso
Casa adosada en alquiler en Sector B,Sector B (Boadilla del Monte),3600.0,2024-10-21,,,Alquiler,448.0,No especificado,5,2,Menos de 5 años,En buen estado,No especificado,Casa
"Ático en alquiler en Paseo de la Tierra de Melide, 30",Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),3500.0,2024-10-28,,,Alquiler,350.0,280.0,4,4,Menos de 5 años,En buen estado,4ª,Otro
Piso en alquiler en Prado de Somosaguas,Prado de Somosaguas (Pozuelo de Alarcón),2200.0,2024-10-21,,,Alquiler,175.0,150.0,4,2,Entre 5 y 10 años,No especificado,2ª,Piso
Piso en alquiler en Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),2300.0,2024-10-25,,,Alquiler,157.0,150.0,4,3,Entre 20 y 30 años,En buen estado,3ª,Piso
Piso en alquiler en Calle de Irún,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),3000.0,2024-10-28,,,Alquiler,85.0,No especificado,2,2,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle de la Piña,Buenavista (Distrito Carabanchel. Madrid Capital),1075.0,2024-10-10,,,Alquiler,62.0,50.0,1,1,Entre 20 y 30 años,En buen estado,3ª,Piso
Piso en alquiler en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),2200.0,2024-10-28,,,Alquiler,70.0,No especificado,2,2,Entre 20 y 30 años,No especificado,2ª,Piso
