Localidad,Código Postal,Latitud,Longitud,geometry,CP,cantidad_propiedades,precio_medio
Sol,28013,40416938.0,-37033901.0,POINT (-37033901 40416938),,,
Acacias,28045,404040749.0,-37059572.0,POINT (-37059572 404040749),,,
Ibiza,28009,404189526.0,-36737251.0,POINT (-36737251 404189526),,,
Recoletos,28001,404243637.0,-36857429.0,POINT (-36857429 404243637),,,
El Viso,28002,404448882.0,-36847127.0,POINT (-36847127 404448882),,,
Bellavista,28020,406057773.0,-40083054.0,POINT (-40083054 406057773),,,
Almagro,28010,404336632.0,-36942857.0,POINT (-36942857 404336632),,,
La Paz,28029,404812105.0,-36966318.0,POINT (-36966318 404812105),,,
Argüelles,28008,404307266.0,-37161715.0,POINT (-37161715 404307266),,,
Los Cármenes,28047,403957469.0,-37434461.0,POINT (-37434461 403957469),,,
Opañel,28019,403903949.0,-37221926.0,POINT (-37221926 403903949),,,
Orcasitas,28026,403691419.0,-37098741.0,POINT (-37098741 403691419),,,
Palomeras Bajas,28018,403853367.0,-36579829.0,POINT (-36579829 403853367),,,
Pavones,28030,404005425.0,-36352111.0,POINT (-36352111 404005425),,,
Ventas,28017,404310642.0,-36635419.0,POINT (-36635419 404310642),,,
Pinar del Rey,28033,404724696.0,-36489613.0,POINT (-36489613 404724696),,,
San Andrés,28021,403455389.0,-37109697.0,POINT (-37109697 403455389),,,
Casco Histórico de Vallecas,28031,403773477.0,-36217118.0,POINT (-36217118 403773477),,,
Ambroz,28032,404147946.0,-360034.0,POINT (-360034 404147946),,,
Simancas,28037,404275549.0,-36229906.0,POINT (-36229906 404275549),,,
Timón,28042,403863375.0,-37069729.0,POINT (-37069729 403863375),,,
Malasaña,28004,404267079.0,-37042311.0,POINT (-37042311 404267079),,,
Chueca,28004,404227415.0,-36993271.0,POINT (-36993271 404227415),,,
Lavapiés,28012,404085142.0,-37009495.0,POINT (-37009495 404085142),,,
Embajadores,28012,404095856.0,-37029851.0,POINT (-37029851 404095856),,,
Tetuán,28039,404605781.0,-36982806.0,POINT (-36982806 404605781),,,
Cuatro Caminos,28020,404467812.0,-37039643.0,POINT (-37039643 404467812),,,
Chamberí,28015,404389621.0,-3705302.0,POINT (-3705302 404389621),,,
Salamanca,28006,404270451.0,-36806024.0,POINT (-36806024 404270451),,,
Arganzuela,28045,403969535.0,-36972891.0,POINT (-36972891 403969535),,,
Retiro,28007,404111495.0,-36760566.0,POINT (-36760566 404111495),,,
Ciudad Universitaria,28040,40443792.0,-3726423.0,POINT (-3726423 40443792),,,
Hortaleza,28033,404725491.0,-36425515.0,POINT (-36425515 404725491),,,
Moncloa,28008,404350196.0,-3719236.0,POINT (-3719236 404350196),,,
Moratalaz,28030,404059332.0,-36448737.0,POINT (-36448737 404059332),,,
Carabanchel,28025,403742112.0,-3744676.0,POINT (-3744676 403742112),,,
Villaverde,28021,403456104.0,-36959556.0,POINT (-36959556 403456104),,,
Usera,28026,40383894.0,-37064459.0,POINT (-37064459 40383894),,,
Barajas,28042,404733176.0,-35798446.0,POINT (-35798446 404733176),,,
Canillejas,28022,404416267.0,-36093074.0,POINT (-36093074 404416267),,,
Vallecas,28038,403868601.0,-36591803.0,POINT (-36591803 403868601),,,
Puente de Vallecas,28053,403868601.0,-36591803.0,POINT (-36591803 403868601),,,
Vicálvaro,28032,404018377.0,-35950537.0,POINT (-35950537 404018377),,,
Alameda de Osuna,28042,404575814.0,-35879745.0,POINT (-35879745 404575814),,,
La Moraleja,28109,405320326.0,-36354938.0,POINT (-36354938 405320326),,,
Piovera,28043,40455438.0,-36359598.0,POINT (-36359598 40455438),,,
Ciudad Lineal,28027,404484305.0,-3650495.0,POINT (-3650495 404484305),,,
Ensanche de Vallecas,28051,403667532.0,-35993259.0,POINT (-35993259 403667532),,,
Las Tablas,28050,405083428.0,-36694346.0,POINT (-36694346 405083428),,,
Sanchinarro,28050,404931887.0,-36564023.0,POINT (-36564023 404931887),,,
Aravaca,28023,40457749.0,-37827941.0,POINT (-37827941 40457749),,,
El Pardo,28048,405205538.0,-37780738.0,POINT (-37780738 405205538),,,
Montecarmero,28049,,,POINT EMPTY,,,
Prosperidad,28002,40443946.0,-36701659.0,POINT (-36701659 40443946),,,
Palacio,28013,404153295.0,-37147092.0,POINT (-37147092 404153295),,,
Hispanoamérica,28036,404552736.0,-36772025.0,POINT (-36772025 404552736),,,
Arcos,28037,40421392.0,-36184184.0,POINT (-36184184 40421392),,,
Castilla,28046,404763551.0,-36800358.0,POINT (-36800358 404763551),,,
Ciudad Jardín,28002,404487115.0,-36738706.0,POINT (-36738706 404487115),,,
Cortes-Huertas,28014,,,POINT EMPTY,,,
Nueva España,28016,404625939.0,-36787346.0,POINT (-36787346 404625939),,,
Puerta del Ángel,28011,404138284.0,-37271312.0,POINT (-37271312 404138284),,,
Niño Jesús,28009,404110941.0,-36737205.0,POINT (-36737205 404110941),,,
Rejas,28022,404448868.0,-35720332.0,POINT (-35720332 404448868),,,
Latina,28047,404035317.0,-3736152.0,POINT (-3736152 404035317),,,
Rosas,28037,404257471.0,-36006842.0,POINT (-36006842 404257471),,,
