Id,Descripción,Localización,Enlace,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Timestamp_Scrapeo,Superficie Construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie Útil,Planta,Tipo De Casa
bfcba5e4-5958-4445-9de7-0ab4df732b8c,Chalet en venta en Boadilla del Monte - Parque Boadilla,Parque de Boadilla (Boadilla del Monte),https://www.pisos.com/comprar/chalet-parque_de_boadilla28669-37520155279_101800/,1795000.0,2024-11-05,Consumo:104 kWh/m² año,Emisiones:53 Kg CO₂/m² año,compra,2024-11-05T23:52:42.741334,415.0,6,5,Entre 10 y 20 años,En buen estado,No especificado,No especificado,Chalet
a0f3e8d5-ca6f-45c5-a5d4-2d3d6b7bbd22,Casa pareada en venta en Cobeña,Cobeña,https://www.pisos.com/comprar/casa_pareada-cobena_centro_urbano-40842641310_101800/,670000.0,2024-11-05,Consumo:104 kWh/m² año,Emisiones:53 Kg CO₂/m² año,compra,2024-11-05T23:52:45.723079,360.0,4,3,Entre 10 y 20 años,En buen estado,No especificado,No especificado,Casa
2efd9d2c-cdc9-45a6-91eb-6173f0e94ac7,"Piso en venta en Calle Joaquim Blume, Número 14",Zona Suroeste (Torrejón de Ardoz),https://www.pisos.com/comprar/piso-zona_suroeste-48377305315_525678/,254900.0,2024-11-02,,,compra,2024-11-05T23:52:48.291304,103.0,3,2,Entre 20 y 30 años,En buen estado,92.0,1ª,Piso
15c5ec6e-b28e-42d1-8fb9-497fa3158469,"Piso en venta en Avenida de Concha Espina, cerca de Calle del Segre",Hispanoamérica (Distrito Chamartín. Madrid Capital),https://www.pisos.com/comprar/piso-chamartin_hispanoamerica28016-26741080610_101800/,950000.0,2024-11-05,Consumo:104 kWh/m² año,Emisiones:56 Kg CO₂/m² año,compra,2024-11-05T23:52:50.925002,141.0,3,2,Más de 50 años,En buen estado,No especificado,1ª,Piso
a0676ed8-fa97-44ac-b242-aa947e8a2016,Piso en venta en Calle del Duratón,Lucero (Distrito Latina. Madrid Capital),https://www.pisos.com/comprar/piso-lucero28011-45892057041_104700/,210000.0,2024-10-17,,,compra,2024-11-05T23:52:53.676227,65.0,3,1,No especificado,No especificado,59.0,No especificado,Piso
77d80dc2-75f5-4ef8-a23a-7a53bdb35d1e,"Casa pareada en venta en Calle Calle Camilo Jose Cela, Número S/N",Villalbilla,https://www.pisos.com/comprar/casa_pareada-villalbilla_centro_urbano-40029955164_101800/,498950.0,2024-11-05,Consumo:28 kWh/m² año,Emisiones:5 Kg CO₂/m² año,compra,2024-11-05T23:52:56.562666,172.0,4,3,No especificado,No especificado,No especificado,No especificado,Casa
8c29443d-d75f-419d-9efc-7febb35ca336,Piso en venta en Calle del Alcatraz,Opañel (Distrito Carabanchel. Madrid Capital),https://www.pisos.com/comprar/piso-opanel28019-48343888324_520820/,225000.0,2024-11-05,,,compra,2024-11-05T23:52:59.172931,70.0,3,1,Más de 50 años,En buen estado,62.0,Bajo,Piso
ca55c355-f550-4a32-9573-acf27604814b,"Casa unifamiliar en venta en Calle de Soto del Henares, 30",Villalbilla,https://www.pisos.com/comprar/casa_unifamiliar-villalbilla_centro_urbano-20842409004_995907/,310000.0,2024-11-05,Consumo:27 kWh/m² año,Emisiones:6 Kg CO₂/m² año,compra,2024-11-05T23:53:02.050468,180.0,4,3,No especificado,A estrenar,152.0,No especificado,Casa
b9cb4405-44b2-4ec8-8e3e-0823b748a97f,Casa en venta en Calle del Carmen,Casco Antiguo Norte (Ciempozuelos),https://www.pisos.com/comprar/casa-casco_antiguo_norte-45834350690_992238/,207000.0,2024-10-18,,,compra,2024-11-05T23:53:04.817984,246.0,4,2,Más de 50 años,A reformar,175.0,No especificado,Casa
939d2e39-0751-4565-933a-92bd1e64958a,Chalet en venta en Bonanza,Montepríncipe (Boadilla del Monte),https://www.pisos.com/comprar/chalet-boadilla_del_monte_monteprincipe28669-48351529839_102100/,1750000.0,2024-11-05,,,compra,2024-11-05T23:53:07.371046,523.0,5,6,No especificado,No especificado,No especificado,No especificado,Chalet
