Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida:,Habitaciones:,Baños:,Conservación:,Referencia:,Superficie útil:,Superficie solar:,Tipo de casa:,Antigüedad:,Gastos de comunidad:,Exterior:,Interior:,descripcion,Planta:_11ª,Planta:_12ª,Planta:_14ª,Planta:_15ª,Planta:_16ª,Planta:_17ª,Planta:_1ª,Planta:_2ª,Planta:_3ª,Planta:_4ª,Planta:_5ª,Planta:_6ª,Planta:_7ª,Planta:_8ª,Planta:_9ª,Planta:_Bajo,Planta:_Entresuelo,Planta:_Más de 20,Planta:_No especificado,Planta:_Principal,Planta:_Semisótano,Planta:_Sótano
https://www.pisos.com/comprar/chalet-villalbilla_centro_urbano-3032755362_109700/,310.0,181,09/08/2024,27.0,6.0,Compra,181.0,4.0,3.0,0,4995907-19514080,,,2,6,,,,chalet villalbilla centro urbano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/casa_unifamiliar-villalbilla_centro_urbano-20842409004_995907/,310.0,180,28/10/2024,27.0,6.0,Compra,180.0,4.0,3.0,0,4995907-Villalbilla Adosado,152.0,150.0,4,6,,,,casa unifamiliar villalbilla centro urbano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/casa_adosada-los_arcos_el_viviero-4871718143_109700/,523.9,294,29/10/2024,,,Compra,294.0,4.0,3.0,0,4528888-21478442,,,0,6,,,,casa adosada los arcos el viviero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/chalet-los_penascales-47596307024_101800/,695.0,260,27/09/2024,,,Compra,260.0,3.0,3.0,3,IF7146-c885,,527.0,2,1,,,,chalet los penascales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/casa_adosada-sevilla_la_nueva_centro_urbano-43350089487_101000/,299.9,186,30/10/2024,,,Compra,186.0,2.0,1.0,3,AF169-2131/155,178.0,,0,6,,,,casa adosada sevilla la nueva centro urbano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/chalet-mirasierra_arroyo_del_fresno28034-3860362029_109700/,,561,30/10/2024,,,Compra,561.0,7.0,8.0,0,-0,,,2,6,,,,chalet mirasierra arroyo del fresno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/chalet-somosaguas_humera_los_angeles28223-39243109880_102100/,,349,30/10/2024,,,Compra,349.0,4.0,6.0,3,GM31-163484,,244.0,2,5,,,,chalet somosaguas humera los angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/casa_adosada-villaviciosa_de_odon_centro-43389644953_100500/,570.0,218,04/06/2024,,,Compra,218.0,4.0,4.0,2,SA4858-C501155,,146.0,0,6,,,,casa adosada villaviciosa de odon centro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/chalet-villanueva_de_la_canada_nucleo_urbano-48360571489_101800/,715.0,380,28/10/2024,,,Compra,380.0,5.0,5.0,3,IF7144-VCHIC,,385.0,2,0,,,,chalet villanueva de la canada nucleo urbano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/atico-zona_sureste-4499403687_109700/,384.9,82,16/09/2024,,,Compra,82.0,2.0,2.0,0,4991481-21081771,,,2,6,,,,atico zona sureste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/chalet-los_penascales-45074808542_101800/,795.0,514,20/09/2024,,,Compra,514.0,7.0,4.0,3,IF7146-C867,,2.808,2,1,,,,chalet los penascales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.pisos.com/comprar/piso-espartales28806-4640475794_109700/,281.315,101,30/07/2024,20.25,3.89,Compra,101.0,2.0,2.0,0,4995071-0,,,2,6,,,,piso espartales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.pisos.com/comprar/chalet-pinares_llanos28670-33339329830_102100/,930.0,713,30/10/2024,,,Compra,713.0,5.0,7.0,3,GM11-185493,,2.0,2,5,,,,chalet pinares llanos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
