Localidad,Código Postal,Latitud,Longitud
Sol,28013,40.416938,-3.7033901
Acacias,28045,40.4040749,-3.7059572
Ibiza,28009,40.4189526,-3.6737251
Recoletos,28001,40.4243637,-3.6857429
El Viso,28002,40.4448882,-3.6847127
Bellavista,28020,40.6057773,-4.0083054
Almagro,28010,40.4336632,-3.6942857
La Paz,28029,40.4812105,-3.6966318
Argüelles,28008,40.4307266,-3.7161715
Los Cármenes,28047,40.3957469,-3.7434461
Opañel,28019,40.3903949,-3.7221926
Orcasitas,28026,40.3691419,-3.7098741
Palomeras Bajas,28018,40.3853367,-3.6579829
Pavones,28030,40.4005425,-3.6352111
Ventas,28017,40.4310642,-3.6635419
Pinar del Rey,28033,40.4724696,-3.6489613
San Andrés,28021,40.3455389,-3.7109697
Casco Histórico de Vallecas,28031,40.3773477,-3.6217118
Ambroz,28032,40.4147946,-3.60034
Simancas,28037,40.4275549,-3.6229906
Timón,28042,40.3863375,-3.7069729
Malasaña,28004,40.4267079,-3.7042311
Chueca,28004,40.4227415,-3.6993271
Lavapiés,28012,40.4085142,-3.7009495
Embajadores,28012,40.4095856,-3.7029851
Tetuán,28039,40.4605781,-3.6982806
Cuatro Caminos,28020,40.4467812,-3.7039643
Chamberí,28015,40.4389621,-3.705302
Salamanca,28006,40.4270451,-3.6806024
Arganzuela,28045,40.3969535,-3.6972891
Retiro,28007,40.4111495,-3.6760566
Ciudad Universitaria,28040,40.443792,-3.726423
Hortaleza,28033,40.4725491,-3.6425515
Moncloa,28008,40.4350196,-3.719236
Moratalaz,28030,40.4059332,-3.6448737
Carabanchel,28025,40.3742112,-3.744676
Villaverde,28021,40.3456104,-3.6959556
Usera,28026,40.383894,-3.7064459
Barajas,28042,40.4733176,-3.5798446
Canillejas,28022,40.4416267,-3.6093074
Vallecas,28038,40.3868601,-3.6591803
Puente de Vallecas,28053,40.3868601,-3.6591803
Vicálvaro,28032,40.4018377,-3.5950537
Alameda de Osuna,28042,40.4575814,-3.5879745
La Moraleja,28109,40.5320326,-3.6354938
Piovera,28043,40.455438,-3.6359598
Ciudad Lineal,28027,40.4484305,-3.650495
Ensanche de Vallecas,28051,40.3667532,-3.5993259
Las Tablas,28050,40.5083428,-3.6694346
Sanchinarro,28050,40.4931887,-3.6564023
Aravaca,28023,40.457749,-3.7827941
El Pardo,28048,40.5205538,-3.7780738
Montecarmero,28049,,
Prosperidad,28002,40.443946,-3.6701659
Palacio,28013,40.4153295,-3.7147092
Hispanoamérica,28036,40.4552736,-3.6772025
Arcos,28037,40.421392,-3.6184184
Castilla,28046,40.4763551,-3.6800358
Ciudad Jardín,28002,40.4487115,-3.6738706
Cortes-Huertas,28014,,
Nueva España,28016,40.4625939,-3.6787346
Puerta del Ángel,28011,40.4138284,-3.7271312
Niño Jesús,28009,40.4110941,-3.6737205
Rejas,28022,40.4448868,-3.5720332
Latina,28047,40.4035317,-3.736152
Rosas,28037,40.4257471,-3.6006842
Plaza del Doctor Laguna,28009,40.41513105,-3.67211965
José Ortega y Gasset,28006,40.42997938048001,-3.677177598507995
Núñez de Balboa,28006,40.4326416,-3.6795551
Parla Este,28983,40.2276357,-3.75292
Calle de la Higuera,28492,40.322944210153246,-3.7190886585715655
Calle Cerceda,28413,40.40734184470329,-3.5813698243792706
