Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación,timestamp_scrapeo,id
Piso en alquiler en Zona Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),1.400,65,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Referencia:', 'IF5032-avda-1d-V T 40m')]",Alquiler,2024-10-30T18:16:48.188293,203bb15f-240e-46ce-bb39-9d172cdb8096
"Piso en alquiler en Calle Gran Vía, cerca de Calle de García Molinas",Universidad-Malasaña (Distrito Centro. Madrid Capital),3.500,122,Anuncio actualizado el 03/10/2024,Consumo:70 kWh/m² año,Emisiones:15 Kg CO₂/m² año,"[('Superficie construida:', '122 m²'), ('Superficie útil:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '8ª'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4528417-000005')]",Alquiler,2024-10-30T18:17:01.098050,c4bc1e39-dc09-42e9-924e-8e7edc2c5603
"Ático en alquiler en Paseo de la Tierra de Melide, 30",Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),3.500,350,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '350 m²'), ('Superficie útil:', '280 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '4ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2557-105981723')]",Alquiler,2024-10-30T18:17:09.123565,bdc8cf41-bb6f-4794-aea5-6c5b33ab3e08
Casa unifamiliar en alquiler en Calle XIX,Las Matas-Los Peñascales (Las Rozas de Madrid),4.000,600,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '600 m²'), ('Superficie útil:', '600 m²'), ('Habitaciones:', '6'), ('Baños:', '7'), ('Tipo de casa:', 'Unifamiliar'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '2805-002317')]",Alquiler,2024-10-30T18:17:17.227102,9c2eb3a8-67e7-454e-a57c-6bff6b49b2fb
Casa adosada en alquiler en Sector B,Sector B (Boadilla del Monte),3.600,448,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '448 m²'), ('Habitaciones:', '5'), ('Baños:', '2'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC170-581681')]",Alquiler,2024-10-30T18:17:23.987867,7b417268-cd0f-433c-b2ec-29ad7c8fd2e7
Piso en alquiler en Calle de Vista Alegre,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1.450,69,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '48 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '2805-002408')]",Alquiler,2024-10-30T18:17:30.717978,e36e0cee-d529-4433-a99a-de6434560c92
Piso en alquiler en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),2.200,70,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF5032-La Florida')]",Alquiler,2024-10-30T18:17:37.166850,f557289f-57bd-412c-a079-456ae412414d
Ático en alquiler en Calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),4.500,133,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '133 m²'), ('Superficie útil:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4400-23657')]",Alquiler,2024-10-30T18:17:43.579989,717af916-8044-431a-88d1-a2102b08b913
Piso en alquiler en Calle de Irún,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),3.000,85,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5184-105690166')]",Alquiler,2024-10-30T18:17:51.301557,4c524b91-efa0-4077-9e73-7ddbde6525db
Piso en alquiler en Calle de Cea Bermúdez,Vallehermoso (Distrito Chamberí. Madrid Capital),2.400,100,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5184-106360284')]",Alquiler,2024-10-30T18:17:57.825348,61ce9c9c-29d3-4059-8da0-397c001c9386
"Estudio en alquiler en Calle de Pollensa, 5",Parque Empresarial (Las Rozas de Madrid),1.147,50,Anuncio actualizado el 03/07/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Baños:', '1'), ('Referencia:', 'IF5032-tartesos')]",Alquiler,2024-10-30T18:18:26.299243,4823dde0-fec9-44be-a142-51ebde3bd1c9
Piso en alquiler en Calle de Alfonso XII,Jerónimos (Distrito Retiro. Madrid Capital),11.000,390,Anuncio actualizado el 30/10/2024,Consumo:104 kWh/m² año,Emisiones:53 Kg CO₂/m² año,"[('Superficie construida:', '390 m²'), ('Habitaciones:', '3'), ('Baños:', '4'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF5271-263')]",Alquiler,2024-10-30T18:18:32.738060,3e63f380-4ff2-4c67-9380-adf9ba441065
"Piso en alquiler en Calle de Bravo Murillo, cerca de Calle de Alvarado",Almenara (Distrito Tetuán. Madrid Capital),1.200,80,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '80 m²'), ('Superficie útil:', '80 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', '500564-35134')]",Alquiler,2024-10-30T18:18:38.674066,fb0027c5-e770-4dff-97f9-524d28ebae94
Piso en alquiler en Calle de la Piña,Buenavista (Distrito Carabanchel. Madrid Capital),1.075,62,Anuncio actualizado el 10/10/2024,N/A,N/A,"[('Superficie construida:', '62 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4996848-000028')]",Alquiler,2024-10-30T18:18:44.823527,241ebddd-8c1e-49d7-8d9d-bda7de8ac441
Piso en alquiler en Calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),3.750,107,Anuncio actualizado el 22/10/2024,Consumo:138 kWh/m² año,Emisiones:34 Kg CO₂/m² año,"[('Superficie construida:', '107 m²'), ('Superficie útil:', '89 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4400-23656')]",Alquiler,2024-10-30T18:18:52.005229,30d08316-4ba0-438e-ae51-eff5c316224d
Piso en alquiler en Calle Jorge Juan,Goya (Distrito Salamanca. Madrid Capital),3.500,207,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '207 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5629-4526-06728')]",Alquiler,2024-10-30T18:18:58.437409,5c9d00e1-a97b-401f-a018-88bbad0b2b50
Piso en alquiler en Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),2.300,157,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '157 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Incluídos'), ('Referencia:', '500635-111256')]",Alquiler,2024-10-30T18:19:05.032261,8e391c03-2f46-4687-b4c8-42c4345bcc49
Piso en alquiler en Prado de Somosaguas,Prado de Somosaguas (Pozuelo de Alarcón),2.200,175,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '175 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Gastos de comunidad:', 'Incluídos en el precio'), ('Referencia:', '500635-111253')]",Alquiler,2024-10-30T18:19:11.180591,298b9e08-165f-4d73-a087-8e443101ce89
Piso en alquiler en Avenida de América,Prosperidad (Distrito Chamartín. Madrid Capital),2.500,95,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '95 m²'), ('Superficie útil:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'Reformado'), ('Gastos de comunidad:', 'Incluidos en el precio'), ('Referencia:', '500635-111246')]",Alquiler,2024-10-30T18:19:17.273232,e9258829-4c7a-4686-8339-8eddaae5843c
Dúplex en alquiler en Majadahonda / Golf - El Carralero,Golf-El Carralero (Majadahonda),2.900,168,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '168 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'A estrenar'), ('Referencia:', 'SA4094-IDE1260924')]",Alquiler,2024-10-30T18:19:23.031135,b55f6496-1562-480c-8bb2-efec1f09a9e8
Chalet en alquiler en Núcleo Urbano,Núcleo Urbano (Villanueva de la Cañada),2.700,329,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '329 m²'), ('Superficie solar:', '367 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF7144-ALQIT')]",Alquiler,2024-10-30T18:19:29.004245,7cecd4c9-0d41-4e1b-b452-9ffc15ee3299
Piso en alquiler en Calle de Espronceda,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.900,69,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 60 y 80 €'), ('Referencia:', 'STA39-RP1132024129918')]",Alquiler,2024-10-30T18:19:36.205552,64db0856-48a6-4289-bc7e-59c29962633b
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle de Felipe Campos",El Viso (Distrito Chamartín. Madrid Capital),4.390,159,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '159 m²'), ('Superficie útil:', '153 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '9ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3995-jg')]",Alquiler,2024-10-30T18:19:42.954008,5ce12358-d6ff-422b-9d30-d770d5714dd1
Apartamento en alquiler en Calle Puerto de Maspalomas,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),875,47,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '47 m²'), ('Superficie útil:', '43 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'AF23-705/3259')]",Alquiler,2024-10-30T18:19:48.795994,bcea6e68-944a-42c0-9c96-46beef9d7727
Piso en alquiler en Calle del Pintor Murillo,Carlos Ruiz (Collado Villalba),1.100,120,Anuncio actualizado el 30/10/2024,Consumo:226 kWh/m² año,Emisiones:47 Kg CO₂/m² año,"[('Superficie construida:', '120 m²'), ('Superficie útil:', '100 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4992271-1134')]",Alquiler,2024-10-30T18:19:55.001944,4870c9be-eb8f-49f4-b9e8-2fee601bd892
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.010,55,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQGVa205c')]",Alquiler,2024-10-30T18:20:00.914366,a220e226-e1cc-4595-b215-8f20e54864de
"Piso en alquiler en Calle Gran Vía, cerca de Calle del Desengaño",Sol (Distrito Centro. Madrid Capital),3.800,148,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '148 m²'), ('Superficie útil:', '140 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3256-AM')]",Alquiler,2024-10-30T18:20:07.070475,eacff007-00de-437a-8216-a79c51929096
"Piso en alquiler en Calle de Letonia, 14",Nuevo Tres Cantos (Tres Cantos),950,72,Anuncio actualizado el 21/10/2024,Consumo:22.73 kWh/m² año,Emisiones:3.85 Kg CO₂/m² año,"[('Superficie construida:', '72 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528991-21490384')]",Alquiler,2024-10-30T18:20:13.854049,c64f1846-5888-4ab8-b9c3-d3cdd1d0b69b
Piso en alquiler en Madrid,Castellana (Distrito Salamanca. Madrid Capital),6.000,264,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '264 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '3ª'), ('Conservación:', 'Reformado'), ('Referencia:', 'SA88-ALQSQM3')]",Alquiler,2024-10-30T18:20:21.072187,021cc9b2-9a6e-4330-b4e1-1969f50f2ff2
Piso en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),2.400,101,Anuncio actualizado el 08/10/2024,Consumo:225 kWh/m² año,Emisiones:47 Kg CO₂/m² año,"[('Superficie construida:', '101 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'A estrenar'), ('Referencia:', 'TC1157-592392')]",Alquiler,2024-10-30T18:20:35.254866,f8845221-43f8-404b-a8bb-4f5b9bbaf1b0
"Ático en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.675,82,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '82 m²'), ('Superficie útil:', '78 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQGVPA20AAE')]",Alquiler,2024-10-30T18:20:44.880389,4fec55cb-352c-4462-bb2a-388a0b3a698f
Piso en alquiler en Calle del Cerrillo,Bustarviejo,720,86,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '86 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'AF189-2216/55')]",Alquiler,2024-10-30T18:20:52.069488,4f179dfa-248b-4169-ac22-fb7f28717334
Piso en alquiler en Calle de Jorge Manrique,El Viso (Distrito Chamartín. Madrid Capital),9.500,330,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '330 m²'), ('Superficie útil:', '320 m²'), ('Habitaciones:', '4'), ('Baños:', '5'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-1455-JG')]",Alquiler,2024-10-30T18:20:58.337292,e188d255-1d1c-4e04-bccf-224af2a00a9b
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),4.000,139,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '139 m²'), ('Superficie útil:', '100 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQNZSQGRV')]",Alquiler,2024-10-30T18:21:04.504267,8632bc47-2179-426a-9638-27657e9189fc
"Piso en alquiler en Calle Teleferico de las Canteras, 2",El Cañaveral (Distrito Vicálvaro. Madrid Capital),1.340,121,Anuncio actualizado el 30/10/2024,Consumo:93 kWh/m² año,Emisiones:19 Kg CO₂/m² año,"[('Superficie construida:', '121 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Conservación:', 'A estrenar'), ('Referencia:', '4526851-21049629')]",Alquiler,2024-10-30T18:21:12.349847,d59333d0-98f7-410d-ba72-5803346caf26
Piso en alquiler en Las Tablas,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.250,93,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '93 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'AF105-1338/277')]",Alquiler,2024-10-30T18:21:18.916078,64cf6314-b122-42e1-bc0e-1247745d614e
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),3.350,95,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '95 m²'), ('Superficie útil:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '996542-1614 AM')]",Alquiler,2024-10-30T18:21:25.418256,40e15ebc-6269-45f7-bc61-fde0145688c2
"Piso en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.600,60,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQNZPAD')]",Alquiler,2024-10-30T18:21:31.273665,83e32db2-15b4-4c7c-85b2-ee48e194c442
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Plaza del Marqués de Salamanca",Castellana (Distrito Salamanca. Madrid Capital),2.355,60,Anuncio actualizado el 16/07/2024,Consumo:453 kWh/m² año,Emisiones:95 Kg CO₂/m² año,"[('Superficie construida:', '60 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-ZEILA')]",Alquiler,2024-10-30T18:21:37.546508,3c69db2c-e36d-439e-9896-662ca9a2a306
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),1.284,85,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528991-21490405')]",Alquiler,2024-10-30T18:21:44.011837,8bcc6a1e-232f-456c-b135-c1d3436d5f4f
Chalet unifamiliar en alquiler en Castillo-Campodón,Castillo-Campodón (Villaviciosa de Odón),7.000,554,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '554 m²'), ('Superficie útil:', '500 m²'), ('Superficie solar:', '1.000 m²'), ('Habitaciones:', '4'), ('Baños:', '6'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4990706-chainvlj')]",Alquiler,2024-10-30T18:21:50.455951,4f02ea08-9587-42ae-9d57-f8771d98dcd5
Ático en alquiler en Calle Libertad,La Navata (Galapagar),1.600,90,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Superficie útil:', '87 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3855-3577-00246')]",Alquiler,2024-10-30T18:21:56.489654,68e897d4-3153-4a8a-83f3-53f187ade097
"Piso en alquiler en Calle de la Jacaranda, 10, cerca de Calle de Alpedrete",Atocha (Distrito Arganzuela. Madrid Capital),1.325,60,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528721-21340822')]",Alquiler,2024-10-30T18:22:02.589622,1c45a879-fb80-493a-8557-2ed0902bbce8
"Ático en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.850,85,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Superficie útil:', '80 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQGVPAACc')]",Alquiler,2024-10-30T18:22:09.267768,b16048af-c368-4755-8a15-8b6d6cc99954
Piso en alquiler en Calle Cava Baja,Palacio (Distrito Centro. Madrid Capital),1.500,37,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '37 m²'), ('Superficie útil:', '35 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'WTC45-28-85-3343')]",Alquiler,2024-10-30T18:22:16.199129,ea61042a-7d90-4205-bcb8-1b5c7281e044
Ático en alquiler en Calle de Jerónimo de la Quintana,Trafalgar (Distrito Chamberí. Madrid Capital),3.535,90,Anuncio actualizado el 16/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '7ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-CASORIA')]",Alquiler,2024-10-30T18:22:23.394020,56fb609e-5f0d-4c43-a767-167549f201ca
Piso en alquiler en Calle del Río,Palacio (Distrito Centro. Madrid Capital),2.500,60,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '56 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '996542-2972 AM')]",Alquiler,2024-10-30T18:22:29.436854,a869f8c0-5344-4e3e-afe0-798d027ca3a6
