ID,Timestamp Scrapeo,Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
92ac36eb-5b4b-4187-80a0-dbbef9ebd5a1,2024-10-30T18:33:25.916519,https://www.pisos.com/comprar/chalet_pareado-serranillos_del_valle_centro_urbano-45091667204_993816/,374.000,264,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '264 m²'), ('Superficie útil:', '264 m²'), ('Superficie solar:', '457 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4993816-003274')]",Compra
9c5aaef2-c4cd-429c-8a0d-286cc7d8dbfc,2024-10-30T18:33:33.379541,https://www.pisos.com/comprar/piso-el_guijo_colonia_espana28260-46688539793_510261/,N/A,N/A,N/A,N/A,N/A,[],Compra
ae91be23-38b6-4dec-95a4-b5d1e6861b3d,2024-10-30T18:33:45.453993,https://www.pisos.com/comprar/atico-nino_jesus28007-45066276232_997608/,N/A,N/A,N/A,N/A,N/A,[],Compra
183b8bb0-faf0-4478-9951-805deeb43607,2024-10-30T18:33:49.933647,https://www.pisos.com/comprar/casa_adosada-sevilla_la_nueva_centro_urbano-43350089487_101000/,299.900,186,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '186 m²'), ('Superficie útil:', '178 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Tipo de casa:', 'Adosada'), ('Referencia:', 'AF169-2131/155')]",Compra
0341d74a-50f1-4b06-a010-82ecbbcd536f,2024-10-30T18:33:57.449281,https://www.pisos.com/comprar/casa_adosada-castillo_campodon-43400843576_100500/,540.000,211,Anuncio actualizado el 04/07/2024,N/A,N/A,"[('Superficie construida:', '211 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Tipo de casa:', 'Adosada'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 20 y 40 €'), ('Referencia:', 'SA4858-C501163')]",Compra
229d602e-1e43-49ca-a71f-64f0571f8cbd,2024-10-30T18:34:02.542208,https://www.pisos.com/comprar/duplex-galapagar_centro-31687526845_510261/,N/A,N/A,N/A,N/A,N/A,[],Compra
9dfede36-1cd2-4482-af32-5ba3ddc75fe5,2024-10-30T18:34:07.726029,https://www.pisos.com/comprar/duplex-centro_la_estacion_prado_de_la_laguna-4253822196_109700/,279.700,107,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '107 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889234')]",Compra
4967c5e4-cc07-47d3-8750-1a852a3d3aec,2024-10-30T18:34:11.719949,https://www.pisos.com/comprar/chalet-los_penascales-47596307024_101800/,695.000,260,Anuncio actualizado el 27/09/2024,N/A,N/A,"[('Superficie construida:', '260 m²'), ('Superficie solar:', '527 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF7146-c885')]",Compra
dcb1964d-e9df-4b83-82b9-59881aaf1ce7,2024-10-30T18:34:16.059216,https://www.pisos.com/comprar/piso-zofio28026-45065797739_440000/,N/A,N/A,N/A,N/A,N/A,[],Compra
311258ef-1858-4388-ac1e-4200d65849fc,2024-10-30T18:34:20.307418,https://www.pisos.com/comprar/casa-chinchon_centro_urbano-18392429127_998937/,230.000,234,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '234 m²'), ('Superficie útil:', '210 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4998937-V-2106-J')]",Compra
e6be16d0-83a5-428c-98fe-7c9c0e49b65b,2024-10-30T18:34:40.217050,https://www.pisos.com/comprar/chalet-hoyo_de_manzanares_centro_urbano-15042247996_108500/,775.000,564,Anuncio actualizado el 30/10/2024,Consumo:289 kWh/m² año,Emisiones:61 Kg CO₂/m² año,"[('Superficie construida:', '564 m²'), ('Superficie útil:', '530 m²'), ('Habitaciones:', '8'), ('Baños:', '7'), ('Referencia:', 'AG105-MG187')]",Compra
c0101766-0ac5-4d2d-bbae-35b4ea5a55c3,2024-10-30T18:34:44.667258,https://www.pisos.com/comprar/chalet-zona_avenida_de_europa28224-4895130532_109700/,1.754.900,344,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '344 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Conservación:', 'A estrenar'), ('Referencia:', '4991481-0')]",Compra
98413f4e-3ff2-4524-a2b7-2b1464c3080c,2024-10-30T18:34:48.824720,https://www.pisos.com/comprar/piso-recoletos28001-45865318562_100500/,1.830.000,175,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '175 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '1ª'), ('Gastos de comunidad:', 'Más de 100 €'), ('Referencia:', 'SA3018-1-1459/8205')]",Compra
9ab43036-0420-4c5d-8fac-328cca7ecdc9,2024-10-30T18:34:52.869235,https://www.pisos.com/comprar/chalet-boadilla_del_monte_las_lomas-47518911706_101800/,1.695.000,1.141,Anuncio actualizado el 04/10/2024,N/A,N/A,"[('Superficie construida:', '1.141 m²'), ('Superficie solar:', '2.464 m²'), ('Habitaciones:', '8'), ('Baños:', '5'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF7146-C890')]",Compra
0363bc14-5880-4d99-9978-325767b55d3e,2024-10-30T18:34:56.901926,https://www.pisos.com/comprar/piso-castilla28016-31713777328_440000/,N/A,N/A,N/A,N/A,N/A,[],Compra
3f8c0357-ebb0-40dd-8aaf-00c18abb4853,2024-10-30T18:35:01.320800,https://www.pisos.com/comprar/chalet-los_penascales-45074808542_101800/,795.000,514,Anuncio actualizado el 20/09/2024,N/A,N/A,"[('Superficie construida:', '514 m²'), ('Superficie solar:', '2.808 m²'), ('Habitaciones:', '7'), ('Baños:', '4'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF7146-C867')]",Compra
